ping 4170 
 loc 15.957991 146.034028
 Tx roll -1.054242  pitch 2.045459 heave -0.542000 heading 215.529534
1970 time 1304827266.555000
YMD time  2011 128 Sun May 8 04:01:06 0.555
 Transmit sector  0
----- tilt_angle        - -1.910000
----- focus_range       - 146.700000
----- signal_length     - 0.000300
----- tx_time_offset    - 0.000400
----- center_frequency  - 73000.000000
----- mean_absorp_coeff - 2036
----- waveform_id       - 0
----- sector_id         - 0
----- signal_bandwidth  - 5000.000000
 Transmit sector  1
----- tilt_angle        - -2.910000
----- focus_range       - 101.100000
----- signal_length     - 0.000300
----- tx_time_offset    - 0.000000
----- center_frequency  - 89000.000000
----- mean_absorp_coeff - 2856
----- waveform_id       - 0
----- sector_id         - 1
----- signal_bandwidth  - 5000.000000
 Transmit sector  2
----- tilt_angle        - -1.910000
----- focus_range       - 146.400000
----- signal_length     - 0.000300
----- tx_time_offset    - 0.000800
----- center_frequency  - 73000.000000
----- mean_absorp_coeff - 2036
----- waveform_id       - 0
----- sector_id         - 2
----- signal_bandwidth  - 5000.000000
 beam    across    along    depth  samp#  TWTTsec    SLR  RxStr sc# TxStr  shotdelat cenFQ
  75    -100.80    16.79   -97.89   2436 0.175403  263.1  48.55   0 -1.91  0.000400  73000 
  76     -99.97    16.81   -97.88   2425 0.174611  261.9  48.31   0 -1.91  0.000400  73000 
  77     -99.10    16.83   -97.79   2412 0.173675  260.5  48.08   0 -1.91  0.000400  73000 
  78     -98.28    16.85   -97.74   2401 0.172883  259.3  47.85   0 -1.91  0.000400  73000 
  79     -97.59    16.87   -97.85   2393 0.172307  258.5  47.61   0 -1.91  0.000400  73000 
  80     -96.86    16.89   -97.91   2384 0.171659  257.5  47.37   0 -1.91  0.000400  73000 
  81     -96.01    16.91   -97.85   2373 0.170867  256.3  47.13   0 -1.91  0.000400  73000 
  82     -95.27    16.93   -97.89   2364 0.170219  255.3  46.89   0 -1.91  0.000400  73000 
  83     -94.52    16.95   -97.94   2355 0.169571  254.4  46.64   0 -1.91  0.000400  73000 
  84     -93.75    16.97   -97.93   2345 0.168851  253.3  46.40   0 -1.91  0.000400  73000 
  85     -92.88    16.98   -97.85   2333 0.167987  252.0  46.15   0 -1.91  0.000400  73000 
  86     -92.08    17.01   -97.90   2323 0.167267  250.9  45.88   0 -1.91  0.000400  73000 
  87     -91.31    17.03   -97.94   2314 0.166619  249.9  45.62   0 -1.91  0.000400  73000 
  88     -90.39    17.04   -97.78   2301 0.165683  248.5  45.37   0 -1.91  0.000400  73000 
  89     -89.64    17.06   -97.84   2292 0.165035  247.6  45.11   0 -1.91  0.000400  73000 
  90     -88.91    17.08   -97.90   2284 0.164459  246.7  44.85   0 -1.91  0.000400  73000 
  91     -88.08    17.10   -97.84   2273 0.163666  245.5  44.59   0 -1.91  0.000400  73000 
  92     -87.34    17.12   -97.92   2265 0.163090  244.6  44.32   0 -1.91  0.000400  73000 
  93     -86.55    17.14   -97.90   2255 0.162370  243.6  44.06   0 -1.91  0.000400  73000 
  94     -85.72    17.16   -97.85   2244 0.161578  242.4  43.79   0 -1.91  0.000400  73000 
  95     -84.97    17.18   -97.89   2235 0.160930  241.4  43.52   0 -1.91  0.000400  73000 
  96     -84.14    17.20   -97.86   2225 0.160210  240.3  43.24   0 -1.91  0.000400  73000 
  97     -83.34    17.22   -97.87   2215 0.159490  239.2  42.96   0 -1.91  0.000400  73000 
  98     -82.62    17.23   -97.91   2207 0.158914  238.4  42.69   0 -1.91  0.000400  73000 
  99     -81.83    17.25   -97.94   2198 0.158266  237.4  42.40   0 -1.91  0.000400  73000 
 100     -80.99    17.27   -97.94   2188 0.157546  236.3  42.10   0 -1.91  0.000400  73000 
 101     -80.16    17.29   -97.88   2178 0.156826  235.2  41.82   0 -1.91  0.000400  73000 
 102     -79.40    17.31   -97.91   2169 0.156178  234.3  41.53   0 -1.91  0.000400  73000 
 103     -78.61    17.32   -97.91   2160 0.155530  233.3  41.24   0 -1.91  0.000400  73000 
 104     -77.77    15.26   -97.85   2150 0.154810  232.2  40.94   1 -2.91  0.000000  89000 
 105     -76.96    15.28   -97.81   2140 0.154090  231.1  40.65   1 -2.91  0.000000  89000 
 106     -76.16    15.31   -97.81   2131 0.153442  230.2  40.35   1 -2.91  0.000000  89000 
 107     -75.40    15.34   -97.84   2123 0.152866  229.3  40.05   1 -2.91  0.000000  89000 
 108     -74.59    15.36   -97.84   2114 0.152218  228.3  39.74   1 -2.91  0.000000  89000 
 109     -73.83    15.39   -97.86   2105 0.151570  227.4  39.44   1 -2.91  0.000000  89000 
 110     -73.04    15.41   -97.86   2097 0.150994  226.5  39.13   1 -2.91  0.000000  89000 
 111     -72.24    15.44   -97.84   2088 0.150346  225.5  38.82   1 -2.91  0.000000  89000 
 112     -71.44    15.46   -97.86   2079 0.149698  224.5  38.50   1 -2.91  0.000000  89000 
 113     -70.69    15.49   -97.90   2072 0.149194  223.8  38.19   1 -2.91  0.000000  89000 
 114     -69.80    15.52   -97.83   2061 0.148401  222.6  37.85   1 -2.91  0.000000  89000 
 115     -68.98    15.54   -97.81   2052 0.147753  221.6  37.52   1 -2.91  0.000000  89000 
 116     -68.20    15.56   -97.81   2044 0.147177  220.8  37.20   1 -2.91  0.000000  89000 
 117     -67.45    15.59   -97.88   2037 0.146673  220.0  36.87   1 -2.91  0.000000  89000 
 118     -66.67    15.61   -97.90   2029 0.146097  219.1  36.54   1 -2.91  0.000000  89000 
 119     -65.88    15.64   -97.88   2020 0.145449  218.2  36.21   1 -2.91  0.000000  89000 
 120     -65.08    15.66   -97.88   2012 0.144873  217.3  35.87   1 -2.91  0.000000  89000 
 121     -64.25    15.68   -97.84   2003 0.144225  216.3  35.53   1 -2.91  0.000000  89000 
 122     -63.46    15.71   -97.84   1995 0.143649  215.5  35.19   1 -2.91  0.000000  89000 
 123     -62.71    15.73   -97.90   1989 0.143217  214.8  34.85   1 -2.91  0.000000  89000 
 124     -61.90    15.76   -97.88   1980 0.142569  213.9  34.50   1 -2.91  0.000000  89000 
 125     -61.09    15.78   -97.85   1972 0.141993  213.0  34.15   1 -2.91  0.000000  89000 
 126     -60.31    15.80   -97.87   1965 0.141489  212.2  33.80   1 -2.91  0.000000  89000 
 127     -59.54    15.82   -97.89   1957 0.140913  211.4  33.45   1 -2.91  0.000000  89000 
 128     -58.72    15.84   -97.86   1949 0.140337  210.5  33.09   1 -2.91  0.000000  89000 
 129     -57.89    15.87   -97.78   1940 0.139689  209.5  32.73   1 -2.91  0.000000  89000 
 130     -57.12    15.89   -97.81   1933 0.139185  208.8  32.37   1 -2.91  0.000000  89000 
 131     -56.32    15.91   -97.80   1926 0.138681  208.0  32.00   1 -2.91  0.000000  89000 
 132     -55.46    15.93   -97.81   1918 0.138105  207.2  31.60   1 -2.91  0.000000  89000 
 133     -54.67    15.96   -97.81   1911 0.137601  206.4  31.23   1 -2.91  0.000000  89000 
 134     -53.88    15.98   -97.85   1905 0.137169  205.8  30.85   1 -2.91  0.000000  89000 
 135     -53.10    16.00   -97.84   1897 0.136593  204.9  30.48   1 -2.91  0.000000  89000 
 136     -52.31    16.02   -97.85   1891 0.136161  204.2  30.10   1 -2.91  0.000000  89000 
 137     -51.47    16.04   -97.78   1882 0.135513  203.3  29.71   1 -2.91  0.000000  89000 
 138     -50.68    16.06   -97.77   1875 0.135009  202.5  29.33   1 -2.91  0.000000  89000 
 139     -49.91    16.08   -97.80   1870 0.134649  202.0  28.94   1 -2.91  0.000000  89000 
 140     -49.14    16.10   -97.84   1864 0.134217  201.3  28.55   1 -2.91  0.000000  89000 
 141     -48.36    16.12   -97.88   1858 0.133785  200.7  28.15   1 -2.91  0.000000  89000 
 142     -47.54    16.13   -97.82   1850 0.133209  199.8  27.76   1 -2.91  0.000000  89000 
 143     -46.77    16.15   -97.86   1845 0.132849  199.3  27.36   1 -2.91  0.000000  89000 
 144     -45.96    16.17   -97.83   1838 0.132344  198.5  26.96   1 -2.91  0.000000  89000 
 145     -45.17    16.19   -97.84   1832 0.131912  197.9  26.55   1 -2.91  0.000000  89000 
 146     -44.38    16.21   -97.86   1826 0.131480  197.2  26.14   1 -2.91  0.000000  89000 
 147     -43.58    16.22   -97.86   1820 0.131048  196.6  25.73   1 -2.91  0.000000  89000 
 148     -42.79    16.24   -97.83   1814 0.130616  195.9  25.32   1 -2.91  0.000000  89000 
 149     -41.99    16.26   -97.84   1808 0.130184  195.3  24.90   1 -2.91  0.000000  89000 
 150     -41.20    16.28   -97.84   1803 0.129824  194.7  24.48   1 -2.91  0.000000  89000 
 151     -40.40    16.29   -97.84   1797 0.129392  194.1  24.06   1 -2.91  0.000000  89000 
 152     -39.61    16.31   -97.84   1792 0.129032  193.5  23.64   1 -2.91  0.000000  89000 
 153     -38.81    16.32   -97.83   1786 0.128600  192.9  23.21   1 -2.91  0.000000  89000 
 154     -37.97    16.34   -97.82   1780 0.128168  192.3  22.76   1 -2.91  0.000000  89000 
 155     -37.18    16.36   -97.80   1775 0.127808  191.7  22.33   1 -2.91  0.000000  89000 
 156     -36.39    16.37   -97.80   1770 0.127448  191.2  21.90   1 -2.91  0.000000  89000 
 157     -35.59    16.39   -97.81   1765 0.127088  190.6  21.46   1 -2.91  0.000000  89000 
 158     -34.79    16.40   -97.78   1759 0.126656  190.0  21.02   1 -2.91  0.000000  89000 
 159     -33.99    16.42   -97.76   1754 0.126296  189.4  20.58   1 -2.91  0.000000  89000 
 160     -33.20    16.43   -97.75   1749 0.125936  188.9  20.14   1 -2.91  0.000000  89000 
 161     -32.42    16.44   -97.79   1745 0.125648  188.5  19.69   1 -2.91  0.000000  89000 
 162     -31.62    16.46   -97.80   1741 0.125360  188.0  19.24   1 -2.91  0.000000  89000 
 163     -30.84    16.47   -97.83   1737 0.125072  187.6  18.79   1 -2.91  0.000000  89000 
 164     -30.05    16.48   -97.82   1733 0.124784  187.2  18.34   1 -2.91  0.000000  89000 
 165     -29.23    16.50   -97.79   1728 0.124424  186.6  17.88   1 -2.91  0.000000  89000 
 166     -28.46    16.51   -97.80   1724 0.124136  186.2  17.43   1 -2.91  0.000000  89000 
 167     -27.65    16.52   -97.76   1720 0.123848  185.8  16.97   1 -2.91  0.000000  89000 
 168     -26.84    16.53   -97.74   1715 0.123488  185.2  16.50   1 -2.91  0.000000  89000 
 169     -26.04    16.54   -97.71   1711 0.123200  184.8  16.04   1 -2.91  0.000000  89000 
 170     -25.25    16.56   -97.74   1708 0.122984  184.5  15.57   1 -2.91  0.000000  89000 
 171     -24.46    16.56   -97.74   1705 0.122768  184.2  15.11   1 -2.91  0.000000  89000 
 172     -23.67    16.58   -97.75   1701 0.122480  183.7  14.64   1 -2.91  0.000000  89000 
 173     -22.88    16.58   -97.77   1699 0.122336  183.5  14.17   1 -2.91  0.000000  89000 
 174     -22.08    16.60   -97.80   1696 0.122120  183.2  13.69   1 -2.91  0.000000  89000 
 175     -21.28    16.60   -97.70   1691 0.121760  182.6  13.22   1 -2.91  0.000000  89000 
 176     -20.48    16.61   -97.72   1688 0.121544  182.3  12.74   1 -2.91  0.000000  89000 
 177     -19.68    16.62   -97.72   1686 0.121400  182.1  12.26   1 -2.91  0.000000  89000 
 178     -18.88    16.63   -97.67   1682 0.121112  181.7  11.78   1 -2.91  0.000000  89000 
 179     -18.10    16.64   -97.71   1680 0.120968  181.5  11.30   1 -2.91  0.000000  89000 
 180     -17.31    16.65   -97.75   1679 0.120896  181.3  10.82   1 -2.91  0.000000  89000 
 181     -16.51    16.66   -97.76   1676 0.120680  181.0  10.33   1 -2.91  0.000000  89000 
 182     -15.72    16.66   -97.73   1674 0.120536  180.8   9.85   1 -2.91  0.000000  89000 
 183     -14.91    16.67   -97.70   1671 0.120320  180.5   9.36   1 -2.91  0.000000  89000 
 184     -14.11    16.68   -97.69   1669 0.120176  180.3   8.87   1 -2.91  0.000000  89000 
 185     -13.31    16.68   -97.68   1667 0.120032  180.0   8.38   1 -2.91  0.000000  89000 
 186     -12.53    16.69   -97.71   1666 0.119960  179.9   7.89   1 -2.91  0.000000  89000 
 187     -11.73    16.69   -97.71   1664 0.119816  179.7   7.40   1 -2.91  0.000000  89000 
 188     -10.94    16.70   -97.68   1662 0.119672  179.5   6.91   1 -2.91  0.000000  89000 
 189     -10.15    16.70   -97.72   1661 0.119600  179.4   6.42   1 -2.91  0.000000  89000 
